%GDP expenditure on Education,Year-1,GII,Year,HDI Rank (2015),Country,F4,F6,F8,F10,F12,F14,F16,F18,Country-1,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service,HDI Rank (2015)-1,Country-2,F4-1,F6-1,F8-1,F10-1,F12-1,F14-1,F16-1,F18-1
5,2011,0.499,2011,110,Paraguay, a,,,,,,,,Paraguay,LATIN AMER. & CARIB,6506464,406750,16,0,-0.08,25.63,4700,94,49.23,7.6,0.23,92.17,2,29.1,4.49,0.224,0.207,0.569,110,Paraguay,,,,,,,,
2.7,2011,0.412,2011,87,Peru, a,,,,,,,,Peru,LATIN AMER. & CARIB,28302603,1285220,22.02,0.19,-1.05,31.94,5100,90.9,79.52,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65,87,Peru,,,,,,,,
,2011,,2011,116,Philippines, a,,,,,,,,Philippines,ASIA (EX. NEAR EAST),89468677,300000,298.23,12.1,-1.5,23.51,4600,92.6,38.42,18.95,16.77,64.28,2,24.89,5.41,0.144,0.326,0.53,116,Philippines,,,,,,,,
4.8,2011,0.155,2011,36,Poland, a,,,,,,,,Poland,EASTERN EUROPE,38536869,312685,123.25,0.16,-0.49,8.51,11100,99.8,306.28,45.91,1.12,52.97,3,9.85,9.89,0.05,0.311,0.64,36,Poland,,,,,,,,
5.1,2011,0.128,2011,41,Portugal, a,,,,,,,,Portugal,WESTERN EUROPE,10605870,92391,114.79,1.94,3.57,5.05,18000,93.3,399.21,21.75,7.81,70.44,3,10.72,10.5,0.053,0.274,0.673,41,Portugal,,,,,,,,
4,2011,0.554,2011,33,Qatar,,,,,,,,,Qatar,NEAR EAST,885359,11437,77.41,4.92,16.29,18.61,21500,82.5,232,1.64,0.27,98.09,1,15.56,4.72,0.002,0.801,0.197,33,Qatar,,,,,,,,
3,2011,0.355,2011,50,Romania, a,,,,,,,,Romania,EASTERN EUROPE,22303552,237500,93.91,0.09,-0.13,26.43,7000,98.4,196.87,40.82,2.25,56.93,3,10.7,11.77,0.101,0.35,0.549,50,Romania,,,,,,,,
4.7,2011,0.433,2011,159,Rwanda, a,,,,,,,,Rwanda,SUB-SAHARAN AFRICA,8648248,26338,328.36,0,0,91.23,1300,70.4,2.66,40.54,12.16,47.3,3,40.37,16.09,0.401,0.229,0.37,159,Rwanda,,,,,,,,
4.3,2011,,2011,92,SaintLucia,,,,,,,,,SaintLucia,LATIN AMER. & CARIB,168458,616,273.47,25.65,-2.67,13.53,5400,67,303.34,6.56,22.95,70.49,2,19.68,5.08,0.07,0.2,0.73,92,SaintLucia,,,,,,,,
,2011,0.491,2011,104,Samoa,,,,,,,,,Samoa,OCEANIA,176908,2944,60.09,13.69,-11.7,27.71,5600,99.7,75.18,21.2,24.38,54.42,2,16.43,6.62,0.114,0.584,0.302,104,Samoa,,,,,,,,
,2011,0.531,2011,142,Sao Tome and Principe,,,,,,,,,Sao Tome and Principe,SUB-SAHARAN AFRICA,193413,1001,193.22,20.88,-2.72,43.11,1200,79.3,36.19,6.25,48.96,44.79,2,40.25,6.47,0.167,0.148,0.684,142,Sao Tome and Principe,,,,,,,,
,2011,0.623,2011,38,Saudi Arabia,,,,,,,,,Saudi Arabia,NEAR EAST,27019731,1960582,13.78,0.13,-2.71,13.24,11800,78.8,140.64,1.67,0.09,98.24,1,29.34,2.58,0.033,0.613,0.354,38,Saudi Arabia,,,,,,,,
,2011,0.567,2011,162,Senegal, a,,,,,,,,Senegal,SUB-SAHARAN AFRICA,11987121,196190,61.1,0.27,0.2,55.51,1600,40.2,22.24,12.78,0.21,87.01,2,32.78,9.42,0.172,0.209,0.619,162,Senegal,,,,,,,,
4.5,2011,0.217,2011,66,Serbia,,,,,,,,,Serbia,EASTERN EUROPE,9396411,88361,106.34,0,-1.33,12.89,2200,93,285.79,33.35,3.2,63.45,,,,0.166,0.255,0.579,66,Serbia,,,,,,,,
2.7,2011,0.662,2011,179,Sierra Leone,,,,,,,,,Sierra Leone,SUB-SAHARAN AFRICA,6005250,71740,83.71,0.56,0,143.64,500,31.4,4,6.98,0.89,92.13,2,45.76,23.03,0.49,0.31,0.21,179,Sierra Leone,,,,,,,,
3.1,2011,0.102,2011,5,Singapore, a,,,,,,,,Singapore,ASIA (EX. NEAR EAST),4492150,693,6482.18,27.85,11.53,2.29,23700,92.5,411.38,1.64,0,98.36,2,9.34,4.28,0,0.339,0.661,5,Singapore,,,,,,,,
4,2011,0.192,2011,40,Slovakia, a,,,,,,,,Slovakia,EASTERN EUROPE,5439448,48845,111.36,0,0.3,7.41,13300,,220.06,30.16,2.62,67.22,3,10.65,9.45,0.035,0.294,0.672,40,Slovakia,,,,,,,,
5.6,2011,0.073,2011,25,Slovenia, a,,,,,,,,Slovenia,EASTERN EUROPE,2010347,20273,99.16,0.23,1.12,4.45,19000,99.7,406.1,8.6,1.49,89.91,,8.98,10.31,0.028,0.369,0.603,25,Slovenia,,,,,,,,
6,2011,0.419,2011,119,South Africa, a,,,,,,,,South Africa,SUB-SAHARAN AFRICA,44187637,1219912,36.22,0.23,-0.29,61.81,10700,86.4,107.02,12.08,0.79,87.13,1,18.2,22,0.025,0.303,0.671,119,South Africa,,,,,,,,
0.8,2011,0.616,2011,165,Sudan, a,,,,,,,,Sudan,SUB-SAHARAN AFRICA,41236378,2505810,16.46,0.03,-0.02,62.5,1900,61.1,16.25,6.83,0.18,92.99,2,34.53,8.97,0.387,0.203,0.41,181,Sudan,,,,,,,,
4.9,2011,0.106,2011,27,Spain, a,,,,,,,,Spain,WESTERN EUROPE,40397842,504782,80.03,0.98,0.99,4.42,22000,97.9,453.54,26.07,9.87,64.06,3,10.06,9.72,0.04,0.295,0.665,27,Spain,,,,,,,,
1.8,2011,0.394,2011,73,SriLanka, a,,,,,,,,SriLanka,ASIA (EX. NEAR EAST),20222240,65610,308.22,2.04,-1.31,14.35,3700,92.3,61.52,13.86,15.7,70.44,2,15.51,6.52,0.178,0.276,0.545,73,SriLanka,,,,,,,,
,2011,0.616,2011,165,Sudan, a,,,,,,,,Sudan,SUB-SAHARAN AFRICA,41236378,2505810,16.46,0.03,-0.02,62.5,1900,61.1,16.25,6.83,0.18,92.99,2,34.53,8.97,0.387,0.203,0.41,165,Sudan,,,,,,,,
8.6,2011,0.565,2011,148,Swaziland, a,,,,,,,,Swaziland,SUB-SAHARAN AFRICA,1136334,17363,65.45,0,0,69.27,4900,81.6,30.8,10.35,0.7,88.95,2.5,27.41,29.74,0.119,0.515,0.366,148,Swaziland,,,,,,,,
6.5,2011,0.049,2011,14,Sweden, a,,,,,,,,Sweden,WESTERN EUROPE,9016596,449964,20.04,0.72,1.67,2.77,26800,99,715.01,6.54,0.01,93.45,3,10.27,10.31,0.011,0.282,0.707,14,Sweden,,,,,,,,
5,2011,0.06,2011,2,Switzerland, a,,,,,,,,Switzerland,WESTERN EUROPE,7523934,41290,182.22,0,4.05,4.39,32700,99,680.89,10.42,0.61,88.97,3,9.71,8.49,0.015,0.34,0.645,2,Switzerland,,,,,,,,
3.9,2011,0.328,2011,129,Tajikistan, a,,,,,,,,Tajikistan,C.W. OF IND. STATES,7320815,143100,51.16,0,-2.86,110.76,1000,99.4,33.49,6.61,0.92,92.47,2,32.65,8.25,0.234,0.286,0.48,129,Tajikistan,,,,,,,,
,2011,0.558,2011,151,Tanzania, a,,,,,,,,Tanzania,SUB-SAHARAN AFRICA,37445392,945087,39.62,0.15,-2.06,98.54,600,78.2,3.96,4.52,1.08,94.4,,37.71,16.39,0.432,0.172,0.396,151,Tanzania,,,,,,,,
4.8,2011,0.307,2011,87,Thailand, a,,,,,,,,Thailand,ASIA (EX. NEAR EAST),64631595,514000,125.74,0.63,0,20.48,7400,92.6,108.85,29.36,6.46,64.18,2,13.87,7.04,0.099,0.441,0.46,87,Thailand,,,,,,,,
4.4,2011,0.589,2011,166,Togo, a,,,,,,,,Togo,SUB-SAHARAN AFRICA,5548702,56785,97.71,0.1,0,66.61,1500,60.9,10.56,46.15,2.21,51.64,2,37.01,9.83,0.395,0.204,0.401,166,Togo,,,,,,,,
,2011,0.472,2011,101,Tonga, a,,,,,,,,Tonga,OCEANIA,114689,748,153.33,56.02,0,12.62,2200,98.5,97.66,23.61,43.06,33.33,2,25.37,5.28,0.23,0.27,0.5,101,Tonga,,,,,,,,
,2011,0.349,2011,65,Trinidad and Tobago, a,,,,,,,,Trinidad and Tobago,LATIN AMER. & CARIB,1065842,5128,207.85,7.06,-10.83,24.31,9500,98.6,303.52,14.62,9.16,76.22,2,12.9,10.57,0.007,0.57,0.423,65,Trinidad and Tobago,,,,,,,,
,2011,0.301,2011,97,Tunisia, a,,,,,,,,Tunisia,NORTHERN AFRICA,10175014,163610,62.19,0.7,-0.57,24.77,6900,74.2,123.59,17.86,13.74,68.4,3,15.52,5.13,0.132,0.318,0.55,97,Tunisia,,,,,,,,
,2011,0.381,2011,71,Turkey, a,,,,,,,,Turkey,NEAR EAST,70413958,780580,90.21,0.92,0,41.04,6700,86.5,269.52,30.93,3.31,65.76,3,16.62,5.97,0.117,0.298,0.585,71,Turkey,,,,,,,,
,2011,,2011,111,Turkmenistan, a,,,,,,,,Turkmenistan,C.W. OF IND. STATES,5042920,488100,10.33,0,-0.86,73.08,5800,98,74.58,3.72,0.14,96.14,1,27.61,8.6,0.209,0.38,0.411,111,Turkmenistan,,,,,,,,
2.7,2011,0.552,2011,163,Uganda, a,,,,,,,,Uganda,SUB-SAHARAN AFRICA,28195754,236040,119.45,0,0,67.83,1400,69.9,3.58,25.88,10.65,63.47,2,47.35,12.24,0.311,0.222,0.469,163,Uganda,,,,,,,,
6.2,2011,0.329,2011,84,Ukraine, a,,,,,,,,Ukraine,C.W. OF IND. STATES,46710816,603700,77.37,0.46,-0.39,20.34,5400,99.7,259.94,56.21,1.61,42.18,3,8.82,14.39,0.187,0.452,0.361,84,Ukraine,,,,,,,,
5.8,2011,0.174,2011,16,United Kingdom, a,,,,,,,,United Kingdom,WESTERN EUROPE,60609153,244820,247.57,5.08,2.19,5.16,27700,99,543.53,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758,16,United Kingdom,,,,,,,,
5.2,2011,0.248,2011,10,United States, a,,,,,,,,United States,NORTHERN AMERICA,298444215,9631420,30.99,0.21,3.41,6.5,37800,97,897.99,19.13,0.22,80.65,3,14.14,8.26,0.01,0.204,0.787,10,United States,,,,,,,,
4.4,2011,0.326,2011,54,Uruguay, a,,,,,,,,Uruguay,LATIN AMER. & CARIB,3431932,176220,19.48,0.37,-0.32,11.95,12800,98,291.38,7.43,0.23,92.34,3,13.91,9.05,0.093,0.311,0.596,54,Uruguay,,,,,,,,
,2011,0.468,2011,71,Venezuela, a,,,,,,,,Venezuela,LATIN AMER. & CARIB,25730435,912050,28.21,0.31,-0.04,22.2,4800,93.4,140.13,2.95,0.92,96.13,2,18.71,4.92,0.04,0.419,0.541,71,Venezuela,,,,,,,,
,2011,0.328,2011,115,VietNam, a,,,,,,,,Vietnam,ASIA (EX. NEAR EAST),84402966,329560,256.11,1.05,-0.45,25.95,2500,90.3,187.73,19.97,5.95,74.08,2,16.86,6.22,0.209,0.41,0.381,115,VietNam,,,,,,,,
,2011,0.772,2011,168,Yemen,,,,,,,,,Yemen,NEAR EAST,21456188,527970,40.64,0.36,0,61.5,800,50.2,37.2,2.78,0.24,96.98,1,42.89,8.3,0.135,0.472,0.393,168,Yemen,,,,,,,,
,2011,0.556,2011,139,Zambia, a,,,,,,,,Zambia,SUB-SAHARAN AFRICA,11502010,752614,15.28,0,0,88.29,800,80.6,8.23,7.08,0.03,92.9,2,41,19.93,0.22,0.29,0.489,139,Zambia,,,,,,,,
,2011,0.575,2011,154,Zimbabwe, a,,,,,,,,Zimbabwe,SUB-SAHARAN AFRICA,12236805,390580,31.33,0,0,67.69,1900,90.7,26.8,8.32,0.34,91.34,2,28.01,21.84,0.179,0.243,0.579,154,Zimbabwe,,,,,,,,
3.1,2012,0.701,2012,169,Afghanistan,,,,,,,,,Afghanistan,ASIA (EX. NEAR EAST),31056997,647500,47.96,0,23.06,163.07,700,36,3.22,12.13,0.22,87.65,1,46.6,20.34,0.38,0.24,0.38,169,Afghanistan,,,,,,,,
,2012,0.281,2012,75,Albania,,,,,,,,,Albania,EASTERN EUROPE,3581655,28748,124.59,1.26,-4.93,21.52,4500,86.5,71.2,21.09,4.42,74.49,3,15.11,5.22,0.232,0.188,0.579,75,Albania,,,,,,,,
5.1,2012,0.366,2012,45,Argentina, a,,,,,,,,Argentina,LATIN AMER. & CARIB,39921833,2766890,14.43,0.18,0.61,15.18,11200,97.1,220.43,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547,45,Argentina,,,,,,,,
3.1,2012,0.317,2012,84,Armenia, a,,,,,,,,Armenia,C.W. OF IND. STATES,2976372,29800,99.88,0,-6.47,23.28,3500,98.6,195.71,17.55,2.3,80.15,4,12.07,8.23,0.239,0.343,0.418,84,Armenia,,,,,,,,
4.9,2012,0.131,2012,2,Australia, a,,,,,,,,Australia,OCEANIA,20264082,7686850,2.64,0.34,3.98,4.69,29000,100,565.53,6.55,0.04,93.41,1,12.14,7.51,0.038,0.262,0.7,2,Australia,,,,,,,,
5.5,2012,0.1,2012,24,Austria, a,,,,,,,,Austria,WESTERN EUROPE,8192880,83870,97.69,0,2,4.66,30000,98,452.22,16.91,0.86,82.23,3,8.74,9.76,0.018,0.304,0.678,24,Austria,,,,,,,,
2.1,2012,0.319,2012,78,Azerbaijan,,,,,,,,,Azerbaijan,C.W. OF IND. STATES,7961619,86600,91.94,0,-4.9,81.74,3400,97,137.08,19.63,2.71,77.66,1,20.74,9.75,0.141,0.457,0.402,78,Azerbaijan,,,,,,,,
,2012,0.377,2012,58,Bahamas,,,,,,,,,Bahamas,LATIN AMER. & CARIB,303770,13940,21.79,25.41,-2.2,25.21,16700,95.6,460.55,0.8,0.4,98.8,2,17.57,9.05,0.03,0.07,0.9,58,Bahamas,,,,,,,,
2.6,2012,0.225,2012,47,Bahrain,,,,,,,,,Bahrain,NEAR EAST,698585,665,1050.5,24.21,1.05,17.27,16900,89.1,281.28,2.82,5.63,91.55,1,17.8,4.14,0.005,0.387,0.608,47,Bahrain,,,,,,,,
2,2012,0.542,2012,139,Bangladesh, a,,,,,,,,Bangladesh,ASIA (EX. NEAR EAST),147365352,144000,1023.37,0.4,-0.71,62.6,1900,43.1,7.26,62.11,3.07,34.82,2,29.8,8.27,0.199,0.198,0.603,139,Bangladesh,,,,,,,,
5.6,2012,0.307,2012,54,Barbados, a,,,,,,,,Barbados,LATIN AMER. & CARIB,279912,431,649.45,22.51,-0.31,12.5,15700,97.4,481.94,37.21,2.33,60.46,2,12.71,8.67,0.06,0.16,0.78,54,Barbados,,,,,,,,
5.1,2012,0.151,2012,52,Belarus,,,,,,,,,Belarus,C.W. OF IND. STATES,10293011,207600,49.58,0,2.54,13.37,6100,99.6,319.08,29.55,0.6,69.85,4,11.16,14.02,0.093,0.316,0.591,52,Belarus,,,,,,,,
,2012,0.087,2012,22,Belgium, a,,,,,,,,Belgium,WESTERN EUROPE,10379067,30528,339.99,0.22,1.23,4.68,29100,98,462.57,23.28,0.4,76.32,3,10.38,10.27,0.01,0.24,0.749,22,Belgium,,,,,,,,
,2012,0.394,2012,103,Belize, a,,,,,,,,Belize,LATIN AMER. & CARIB,287730,22966,12.53,1.68,0,25.69,4900,94.1,115.73,2.85,1.71,95.44,2,28.84,5.72,0.142,0.152,0.612,103,Belize,,,,,,,,
4.9,2012,0.621,2012,167,Benin, a,,,,,,,,Benin,SUB-SAHARAN AFRICA,7862944,112620,69.82,0.11,0,85,1100,40.9,9.7,18.08,2.4,79.52,2,38.85,12.22,0.316,0.138,0.546,167,Benin,,,,,,,,
,2012,0.487,2012,132,Bhutan,,,,,,,,,Bhutan,ASIA (EX. NEAR EAST),2279723,47000,48.5,0,0,100.44,1300,42.2,14.34,3.09,0.43,96.48,2,33.65,12.7,0.258,0.379,0.363,132,Bhutan,,,,,,,,
6.4,2012,0.492,2012,118,Bolivia,,,,,,,,,Bolivia,LATIN AMER. & CARIB,8989046,1098580,8.18,0,-1.32,53.11,2400,87.2,71.9,2.67,0.19,97.14,1.5,23.3,7.53,0.128,0.352,0.52,118,Bolivia,,,,,,,,
,2012,0.478,2012,108,Botswana, a,,,,,,,,Botswana,SUB-SAHARAN AFRICA,1639833,600370,2.73,0,0,54.58,9000,79.8,80.5,0.65,0.01,99.34,1,23.08,29.5,0.024,0.469,0.507,108,Botswana,,,,,,,,
5.9,2012,0.448,2012,79,Brazil, a,,,,,,,,Brazil,LATIN AMER. & CARIB,188078227,8511965,22.1,0.09,-0.03,29.61,7600,86.4,225.34,6.96,0.9,92.15,2,16.56,6.17,0.084,0.4,0.516,79,Brazil,,,,,,,,
3.5,2012,0.214,2012,56,Bulgaria, a,,,,,,,,Bulgaria,EASTERN EUROPE,7385367,110910,66.59,0.32,-4.58,20.55,7600,98.6,336.27,40.02,1.92,58.06,3,9.65,14.27,0.093,0.304,0.603,56,Bulgaria,,,,,,,,
4.1,2012,0.602,2012,185,BurkinaFaso,,,,,,,,,BurkinaFaso,SUB-SAHARAN AFRICA,13902972,274200,50.7,0,0,97.57,1100,26.6,7.01,14.43,0.19,85.38,2,45.62,15.6,0.322,0.196,0.482,185,BurkinaFaso,,,,,,,,
5.8,2012,0.494,2012,184,Burundi,,,,,,,,,Burundi,SUB-SAHARAN AFRICA,8090068,27830,290.7,0,-0.06,69.29,600,51.6,3.42,35.05,14.02,50.93,2,42.22,13.46,0.463,0.203,0.334,184,Burundi,,,,,,,,
1.6,2012,0.486,2012,143,Cambodia, a,,,,,,,,Cambodia,ASIA (EX. NEAR EAST),13881427,181040,76.68,0.24,0,71.48,1900,69.4,2.62,20.96,0.61,78.43,2,26.9,9.06,0.35,0.3,0.35,143,Cambodia,,,,,,,,
3,2012,0.613,2012,153,Cameroon, a,,,,,,,,Cameroon,SUB-SAHARAN AFRICA,17340702,475440,36.47,0.08,0,68.26,1800,79,5.73,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382,153,Cameroon,,,,,,,,
,2012,0.113,2012,10,Canada, a,,,,,,,,Canada,NORTHERN AMERICA,33098932,9984670,3.31,2.02,5.96,4.75,29800,97,552.16,4.96,0.02,95.02,,10.78,7.8,0.022,0.294,0.684,10,Canada,,,,,,,,
,2012,0.656,2012,188,Central African Republic, a,,,,,,,,Central African Republic,SUB-SAHARAN AFRICA,4303356,622984,6.91,0,0,91,1100,51,2.32,3.1,0.14,96.76,2,33.91,18.65,0.55,0.2,0.25,188,Central African Republic,,,,,,,,
,2012,,2012,186,Chad,,,,,,,,,Chad,SUB-SAHARAN AFRICA,9944201,1284000,7.74,0,-0.11,93.82,1200,47.5,1.31,2.86,0.02,97.12,2,45.73,16.38,0.335,0.259,0.406,186,Chad,,,,,,,,
4.6,2012,0.347,2012,38,Chile, a,,,,,,,,Chile,LATIN AMER. & CARIB,16134219,756950,21.31,0.85,0,8.8,9900,96.2,212.96,2.65,0.42,96.93,3,15.23,5.81,0.06,0.493,0.447,38,Chile,,,,,,,,
,2012,0.184,2012,90,China,,,,,,,,,China,ASIA (EX. NEAR EAST),1313973713,9596960,136.92,0.15,-0.4,24.18,5000,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403,90,China,,,,,,,,
4.4,2012,0.424,2012,95,Colombia, a,,,,,,,,Colombia,LATIN AMER. & CARIB,43593035,1138910,38.28,0.28,-0.31,20.97,6300,92.5,176.15,2.42,1.67,95.91,2,20.48,5.58,0.125,0.342,0.533,95,Colombia,,,,,,,,
,2012,0.67,2012,176,Congo,,,,,,,,,Congo,SUB-SAHARAN AFRICA,62660551,2345410,26.72,0,0,94.69,700,65.5,0.17,2.96,0.52,96.52,2,43.69,13.27,0.55,0.11,0.34,135,Congo,,,,,,,,
,2012,0.609,2012,135,Congo,,,,,,,,,Congo,SUB-SAHARAN AFRICA,62660551,2345410,26.72,0,0,94.69,700,65.5,0.17,2.96,0.52,96.52,2,43.69,13.27,0.55,0.11,0.34,135,Congo,,,,,,,,
,2012,0.135,2012,45,Croatia, a,,,,,,,,Croatia,EASTERN EUROPE,4494749,56542,79.49,10.32,1.58,6.84,10600,98.5,420.38,26.09,2.27,71.65,,9.61,11.48,0.07,0.308,0.622,45,Croatia,,,,,,,,
,2012,0.317,2012,68,Cuba, a,,,,,,,,Cuba,LATIN AMER. & CARIB,11382820,110860,102.68,3.37,-1.58,6.33,2900,97,74.67,33.05,7.6,59.35,2,11.89,7.22,0.055,0.261,0.684,68,Cuba,,,,,,,,
,2012,0.138,2012,33,Cyprus, a,,,,,,,,Cyprus,NEAR EAST,784301,9250,84.79,7.01,0.43,7.18,19200,97.6,,7.79,4.44,87.77,3,12.56,7.68,0.037,0.198,0.765,33,Cyprus,,,,,,,,
4.3,2012,0.131,2012,28,Czech Republic, a,,,,,,,,Czech Republic,EASTERN EUROPE,10235455,78866,129.78,0,0.97,3.93,15700,99.9,314.33,39.8,3.05,57.15,3,9.02,10.59,0.034,0.393,0.573,28,Czech Republic,,,,,,,,
,2012,0.674,2012,171,Côte d'Ivoire, a,,,,,,,,Côte d'Ivoire,SUB-SAHARAN AFRICA,17654843,322460,54.75,0.16,-0.07,90.83,1400,50.9,14.61,9.75,13.84,76.41,2,35.11,14.84,0.279,0.171,0.55,171,Côte d'Ivoire,,,,,,,,
,2012,0.048,2012,5,Denmark, a,,,,,,,,Denmark,WESTERN EUROPE,5450661,43094,126.48,16.97,2.48,4.56,31100,100,614.6,54.02,0.19,45.79,3,11.13,10.36,0.018,0.246,0.735,5,Denmark,,,,,,,,
,2012,0.447,2012,99,Dominican Republic, a,,,,,,,,Dominican Republic,LATIN AMER. & CARIB,9183984,48730,188.47,2.64,-3.22,32.38,6000,84.7,97.4,22.65,10.33,67.02,2,23.22,5.73,0.112,0.306,0.582,99,Dominican Republic,,,,,,,,
4.2,2012,0.418,2012,89,Ecuador, a,,,,,,,,Ecuador,LATIN AMER. & CARIB,13547510,283560,47.78,0.79,-8.58,23.66,3300,92.5,125.6,5.85,4.93,89.22,2,22.29,4.23,0.07,0.312,0.618,89,Ecuador,,,,,,,,
,2012,0.575,2012,111,Egypt, a,,,,,,,,Egypt,NORTHERN AFRICA,78887007,1001450,78.77,0.24,-0.22,32.59,4000,57.7,131.78,2.87,0.48,96.65,1,22.94,5.23,0.149,0.357,0.493,111,Egypt,,,,,,,,
,2012,0.413,2012,117,ElSalvador, a,,,,,,,,ElSalvador,LATIN AMER. & CARIB,6822378,21040,324.26,1.46,-3.74,25.1,4800,80.2,142.4,31.85,12.07,56.08,2,26.61,5.78,0.099,0.302,0.599,117,ElSalvador,,,,,,,,
4.7,2012,0.162,2012,30,Estonia, a,,,,,,,,Estonia,BALTICS,1324333,45226,29.28,8.39,-3.16,7.87,12300,99.8,333.75,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666,30,Estonia,,,,,,,,
5.6,2012,0.56,2012,174,Ethiopia,,,,,,,,,Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,66.34,0,0,95.32,700,42.7,8.16,10.71,0.75,88.54,2,37.98,14.86,0.475,0.099,0.426,174,Ethiopia,,,,,,,,
,2012,,2012,91,Fiji, a,,,,,,,,Fiji,OCEANIA,905949,18270,49.59,6.18,-3.14,12.62,5800,93.7,112.59,10.95,4.65,84.4,2,22.55,5.65,0.089,0.135,0.776,91,Fiji,,,,,,,,
7.2,2012,0.068,2012,23,Finland, a,,,,,,,,Finland,WESTERN EUROPE,5231372,338145,15.47,0.37,0.95,3.57,27400,100,405.25,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676,23,Finland,,,,,,,,
5.5,2012,0.108,2012,21,France, a,,,,,,,,France,WESTERN EUROPE,60876136,547030,111.28,0.63,0.66,4.26,27600,99,586.44,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764,21,France,,,,,,,,
,2012,0.552,2012,109,Gabon, a,,,,,,,,Gabon,SUB-SAHARAN AFRICA,1424906,267667,5.32,0.33,0,53.64,5500,63.2,27.44,1.26,0.66,98.08,2,36.16,12.25,0.061,0.592,0.348,109,Gabon,,,,,,,,
4.1,2012,0.657,2012,173,Gambia, a,,,,,,,,Gambia,SUB-SAHARAN AFRICA,1641564,11300,145.27,0.71,1.57,72.02,1700,40.1,26.8,25,0.5,74.5,2,39.37,12.25,0.308,0.142,0.549,173,Gambia,,,,,,,,
2,2012,0.375,2012,70,Georgia, a,,,,,,,,Georgia,C.W. OF IND. STATES,4661473,69700,66.88,0.44,-4.7,18.59,2500,99,146.56,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553,70,Georgia,,,,,,,,
4.9,2012,0.087,2012,4,Germany, a,,,,,,,,Germany,WESTERN EUROPE,82422299,357021,230.86,0.67,2.18,4.16,27600,99,667.85,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695,4,Germany,,,,,,,,
7.9,2012,,2012,139,Ghana, a,,,,,,,,Ghana,SUB-SAHARAN AFRICA,22409572,239460,93.58,0.23,-0.64,51.43,2200,74.8,14.35,16.26,9.67,74.07,2,30.52,9.72,0.366,0.246,0.387,139,Ghana,,,,,,,,
,2012,0.134,2012,29,Greece, a,,,,,,,,Greece,WESTERN EUROPE,10688058,131940,81.01,10.37,2.35,5.53,20000,97.5,589.72,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733,29,Greece,,,,,,,,
3,2012,0.523,2012,125,Guatemala, a,,,,,,,,Guatemala,LATIN AMER. & CARIB,12293545,108890,112.9,0.37,-1.67,35.93,4100,70.6,92.09,12.54,5.03,82.43,2,29.88,5.2,0.227,0.188,0.585,125,Guatemala,,,,,,,,
3.2,2012,0.515,2012,127,Guyana,,,,,,,,,Guyana,LATIN AMER. & CARIB,767245,214970,3.57,0.21,-2.07,33.26,4000,98.8,143.5,2.44,0.15,97.41,2,18.28,8.28,0.37,0.203,0.427,127,Guyana,,,,,,,,
,2012,0.495,2012,130,Honduras,,,,,,,,,Honduras,LATIN AMER. & CARIB,7326496,112090,65.36,0.73,-1.99,29.32,2600,76.2,67.48,9.55,3.22,87.23,2,28.24,5.28,0.139,0.312,0.549,130,Honduras,,,,,,,,
,2012,0.259,2012,43,Hungary, a,,,,,,,,Hungary,EASTERN EUROPE,9981334,93030,107.29,0,0.86,8.57,13900,99.4,336.23,50.09,2.06,47.85,3,9.72,13.11,0.037,0.312,0.651,43,Hungary,,,,,,,,
,2012,0.085,2012,9,Iceland, a,,,,,,,,Iceland,WESTERN EUROPE,299388,103000,2.91,4.83,2.38,3.31,30900,99.9,647.65,0.07,0,99.93,3,13.64,6.72,0.086,0.15,0.765,9,Iceland,,,,,,,,
3.8,2012,0.573,2012,131,India, a,,,,,,,,India,ASIA (EX. NEAR EAST),1095351995,3287590,333.18,0.21,-0.07,56.29,2900,59.5,45.42,54.4,2.74,42.86,2.5,22.01,8.18,0.186,0.276,0.538,131,India,,,,,,,,
3.4,2012,0.476,2012,113,Indonesia, a,,,,,,,,Indonesia,ASIA (EX. NEAR EAST),245452739,1919440,127.88,2.85,0,35.6,3200,87.9,52.03,11.32,7.23,81.45,2,20.34,6.25,0.134,0.458,0.408,113,Indonesia,,,,,,,,
3.2,2012,0.517,2012,69,Iran, a,,,,,,,,Iran,ASIA (EX. NEAR EAST),68688433,1648000,41.68,0.15,-0.84,41.58,7000,79.4,276.41,8.72,1.39,89.89,1,17,5.55,0.116,0.424,0.46,69,Iran,,,,,,,,
